"","Site","Project","Year","Month","Community","Nickname","Plot","Depth_cm","CO2_Treatment","Temp_Treatment","CH4_Conc_ppm","CH4_Conc_uM","CH4_Conc_Flag","CH4_QAQC_Flags","Analysis_rundate","Run_notes"
"1","GCReW","SMARTX","2026","July","SCAM","C3","613",40,"Elevated",5.1,5438.20384362987,222.274251360924,"Within Range","","8/20/2026",""
"2","GCReW","SMARTX","2026","July","SCAM","C3","313",120,"Ambient",5.1,8717.64528951479,356.313984557006,"Within Range","","8/20/2026",""
"3","GCReW","SMARTX","2026","July","SCAM","C3","323",20,"Ambient",5.1,3993.74394207695,163.235228096904,"Within Range","","8/20/2026",""
"4","GCReW","SMARTX","2026","July","SCAM","C3","323",40,"Ambient",5.1,5685.1084920665,232.365919026723,"Within Range","","8/20/2026",""
"5","GCReW","SMARTX","2026","July","SCAM","C3","312",40,"Ambient",3.4,7068.05360482075,288.890664779086,"Within Range","","8/20/2026",""
"6","GCReW","SMARTX","2026","July","SCAM","C3","323",120,"Ambient",5.1,5383.06118682543,220.020420296166,"Within Range","","8/20/2026",""
"7","GCReW","SMARTX","2026","July","SCAM","C3","613",80,"Elevated",5.1,5748.48611556899,234.956335683052,"Within Range","","8/20/2026",""
"8","GCReW","SMARTX","2026","July","SCAM","C3","613",120,"Elevated",5.1,5744.08680113931,234.776523680877,"Within Range","","8/20/2026",""
"9","GCReW","SMARTX","2026","July","SCAM","C3","322",120,"Ambient",3.4,5861.09481711103,239.558961026216,"Within Range","","8/20/2026",""
"10","GCReW","SMARTX","2026","July","SCAM","C3","312",20,"Ambient",3.4,9512.16147551383,388.788032149749,"Within Range","","8/20/2026",""
"11","GCReW","SMARTX","2026","July","SCAM","C3","623",120,"Elevated",5.1,3981.95515419119,162.753388122326,"Within Range","","8/20/2026",""
"12","GCReW","SMARTX","2026","July","SCAM","C3","312",80,"Ambient",3.4,7683.90950747347,314.062378389764,"Within Range","","8/20/2026",""
"13","GCReW","SMARTX","2026","July","SCAM","C3","613",20,"Elevated",5.1,4485.44294280973,183.332309858709,"Within Range","","8/20/2026",""
"14","GCReW","SMARTX","2026","July","SCAM","C3","313",10,"Ambient",5.1,4246.93823536225,173.583970734562,"Within Range","","8/20/2026",""
"15","GCReW","SMARTX","2026","July","SCAM","C3","313",40,"Ambient",5.1,9735.722261758,397.925572379009,"Within Range","","8/20/2026",""
"16","GCReW","SMARTX","2026","July","SCAM","C3","313",80,"Ambient",5.1,9230.02794199583,377.256463685285,"Within Range","","8/20/2026",""
"17","GCReW","SMARTX","2026","July","SCAM","C3","610",10,"Elevated",0,68.1974288348195,2.78741527071582,"Within Range","","8/20/2026",""
"18","GCReW","SMARTX","2026","July","SCAM","C3","610",20,"Elevated",0,98.3632780369277,4.02037595789551,"Within Range","","8/20/2026",""
"19","GCReW","SMARTX","2026","July","SCAM","C3","610",40,"Elevated",0,124.804948325195,5.10111927628759,"Within Range","","8/20/2026",""
"20","GCReW","SMARTX","2026","July","SCAM","C3","610",80,"Elevated",0,184.692358718638,7.54888138559862,"Within Range","","8/20/2026",""
"21","GCReW","SMARTX","2026","July","SCAM","C3","610",120,"Elevated",0,171.906011114452,7.02626841942781,"Within Range","","8/20/2026",""
"22","GCReW","SMARTX","2026","July","SCAM","C3","310",10,"Ambient",0,1084.67612830789,44.3336773172109,"Within Range","","8/20/2026",""
"23","GCReW","SMARTX","2026","July","SCAM","C3","310",20,"Ambient",0,732.172793642063,29.9259027894399,"Within Range","","8/20/2026",""
"24","GCReW","SMARTX","2026","July","SCAM","C3","310",40,"Ambient",0,549.89710357483,22.47579725534,"Within Range","","8/20/2026",""
"25","GCReW","SMARTX","2026","July","SCAM","C3","310",80,"Ambient",0,408.678852620885,16.7038214501198,"Within Range","","8/20/2026",""
"26","GCReW","SMARTX","2026","July","SCAM","C3","310",120,"Ambient",0,1158.76768775167,47.3620018120382,"Within Range","","8/20/2026",""
"27","GCReW","SMARTX","2026","July","SCAM","C3","311",10,"Ambient",1.7,1097.58661520921,44.8613641956746,"Within Range","","8/20/2026",""
"28","GCReW","SMARTX","2026","July","SCAM","C3","311",20,"Ambient",1.7,706.998650913945,28.8969667860387,"Within Range","","8/20/2026",""
"29","GCReW","SMARTX","2026","July","SCAM","C3","311",40,"Ambient",1.7,774.778707145842,31.6673228979733,"Within Range","","8/20/2026",""
"30","GCReW","SMARTX","2026","July","SCAM","C3","311",80,"Ambient",1.7,1010.03574249787,41.2829207890885,"Within Range","","8/20/2026",""
"31","GCReW","SMARTX","2026","July","SCAM","C3","311",120,"Ambient",1.7,1517.58905927659,62.0280117707173,"Within Range","","8/20/2026",""
"32","GCReW","SMARTX","2026","July","SCAM","C3","312",10,"Ambient",3.4,3193.22129191057,130.515679900559,"Within Range","","8/20/2026",""
"33","GCReW","SMARTX","2026","July","SCAM","C3","623",80,"Elevated",5.1,1842.93202246026,75.3256676984004,"Within Range","","8/20/2026",""
"34","GCReW","SMARTX","2026","July","SCAM","C3","620",20,"Elevated",0,209.154333900074,8.54870915531939,"Within Range","","8/20/2026",""
"35","GCReW","SMARTX","2026","July","SCAM","C3","630",10,"Elevated",0,595.051139493342,24.321366089886,"Within Range","","8/20/2026",""
"36","GCReW","SMARTX","2026","July","SCAM","C3","312",120,"Ambient",3.4,3693.66600051691,150.970222641414,"Within Range","","8/20/2026",""
"37","GCReW","SMARTX","2026","July","SCAM","C3","630",40,"Elevated",0,124.902953033454,5.10512499651884,"Within Range","","8/20/2026",""
"38","GCReW","SMARTX","2026","July","SCAM","C3","630",80,"Elevated",0,287.747576276544,11.7610297327689,"Within Range","","8/20/2026",""
"39","GCReW","SMARTX","2026","July","SCAM","C3","630",120,"Elevated",0,168.064226550701,6.86924418636269,"Within Range","","8/20/2026",""
"40","GCReW","SMARTX","2026","July","SCAM","C3","320",40,"Ambient",0,695.590902872601,28.4307009511208,"Within Range","","8/20/2026",""
"41","GCReW","SMARTX","2026","July","SCAM","C3","613",10,"Elevated",5.1,3608.19282762066,147.47670050373,"Within Range","","8/20/2026",""
"42","GCReW","SMARTX","2026","July","SCAM","C3","320",120,"Ambient",0,1001.42439546552,40.9309515047691,"Within Range","","8/20/2026",""
"43","GCReW","SMARTX","2026","July","SCAM","C3","321",10,"Ambient",1.7,1259.2225137171,51.4678650490726,"Within Range","","8/20/2026",""
"44","GCReW","SMARTX","2026","July","SCAM","C3","321",20,"Ambient",1.7,1616.96583345118,66.0898120852079,"Within Range","","8/20/2026",""
"45","GCReW","SMARTX","2026","July","SCAM","C3","321",40,"Ambient",1.7,1646.26270757339,67.2872553863371,"Within Range","","8/20/2026",""
"46","GCReW","SMARTX","2026","July","SCAM","C3","620",10,"Elevated",0,634.6973108077,25.9418134474356,"Within Range","","8/20/2026",""
"47","GCReW","SMARTX","2026","July","SCAM","C3","322",10,"Ambient",3.4,1845.54548134716,75.4324869045671,"Within Range","","8/20/2026",""
