"","Site","Project","Year","Month","Community","Nickname","Plot","Depth_cm","CO2_Treatment","Temp_Treatment","H2S_Conc_uM","H2S_Conc_Flag","H2S_CV_Flag","H2S_Flags","Analysis_rundate","Run_notes"
"1","GCReW","SMARTX","2025","July","SCAM","C3","610","20","Elevated","0",2577.07558859975,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"2","GCReW","SMARTX","2025","July","SCAM","C3","310","120","Ambient","0",3943.24659231722,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"3","GCReW","SMARTX","2025","July","SCAM","C3","311","120","Ambient","1.7",6731.97026022305,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"4","GCReW","SMARTX","2025","July","SCAM","C3","610","40","Elevated","0",1813.75464684015,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"5","GCReW","SMARTX","2025","July","SCAM","C3","312","10","Ambient","3.4",3188.59975216852,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"6","GCReW","SMARTX","2025","July","SCAM","C3","610","80","Elevated","0",1141.51177199504,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"7","GCReW","SMARTX","2025","July","SCAM","C3","312","20","Ambient","3.4",4246.84014869888,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"8","GCReW","SMARTX","2025","July","SCAM","C3","610","120","Elevated","0",1881.70177612557,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"9","GCReW","SMARTX","2025","July","SCAM","C3","310","10","Ambient","0",3648.32713754647,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"10","GCReW","SMARTX","2025","July","SCAM","C3","311","10","Ambient","1.7",3607.84799669558,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"11","GCReW","SMARTX","2025","July","SCAM","C3","310","20","Ambient","0",2413.71334159438,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"12","GCReW","SMARTX","2025","July","SCAM","C3","311","20","Ambient","1.7",4027.09624122263,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
"13","GCReW","SMARTX","2025","July","SCAM","C3","310","40","Ambient","0",3670.01239157373,"Within_Range","CV_Good","Spk_Bad Dup_Bad Std3Chk_Bad, Std5Chk_Bad, Std4Chk_Bad    ",2025-07-15,""
